id,trt,add,add_new,rdp,epa,District,section,UTM_flsE,UTM_flsN,y95_96,mz_var,lite_txt,sitegrp,yield,N,P2O5,S,Nsq
710048,0:00:00,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71004,702900,8276100,1997/98,MH18,light,Lower Shire valley,2577.19807,0,0,0,0
710058,0:00:00,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71005,710600,8287800,1997/98,MH18,medium,Lower Shire valley,182.78,0,0,0,0
710088,0:00:00,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71008,710600,8270600,1997/98,MH18,light,Lower Shire valley,913.9,0,0,0,0
710098,0:00:00,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71009,699500,8267600,1997/98,MH18,light,Lower Shire valley,804.232017,0,0,0,0
710108,0:00:00,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71010,717600,8293300,1997/98,MH18,medium,Lower Shire valley,365.56,0,0,0,0
710118,0:00:00,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71011,717600,8293300,1997/98,MH18,medium,Lower Shire valley,731.12,0,0,0,0
710128,0:00:00,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71012,717300,8284200,1997/98,MH18,light,Lower Shire valley,255.891996,0,0,0,0
710138,0:00:00,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71013,716400,8288800,1997/98,MH18,medium,Lower Shire valley,1650.50335,0,0,0,0
710158,0:00:00,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71015,715200,8268900,1997/98,MH18,medium,Lower Shire valley,274.17,0,0,0,0
710168,0:00:00,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71016,723400,8272300,1997/98,MH18,medium,Lower Shire valley,1462.24,0,0,0,0
710178,0:00:00,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71017,717100,8275200,1997/98,MH18,light,Lower Shire valley,548.34,0,0,0,0
710188,0:00:00,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71018,716900,8275200,1997/98,MH18,light,Lower Shire valley,219.336009,0,0,0,0
